# mac_addr	mangled	demangled
# source: Mac PEF traceback tables; addr = 0x10000000 + code-section offset
# NOTE: old lift-comment mac addrs came from a DIFFERENT Mac build - match by NAME
0x1000c954	.IsDialogueControlled__10HelpSystemCFv	HelpSystem::IsDialogueControlled() const
0x1000ca14	.IsEffectReceiver__8VillagerFP12EffectValues	Villager::IsEffectReceiver(EffectValues*)
0x1000cac4	.IsScriptAnimationComplete__8VillagerFv	Villager::IsScriptAnimationComplete()
0x1000cb64	.DoesObjectTypeCountAsFixed__7MapCellF11OBJECT_TYPE	MapCell::DoesObjectTypeCountAsFixed(OBJECT_TYPE)
0x1000cd44	.SpellsNeedContinualPackets__5SpellFP16GInterfaceStatus	Spell::SpellsNeedContinualPackets(GInterfaceStatus*)
0x1000ce14	.DecompressPacket__5GGameFR7GPacketPv	GGame::DecompressPacket(GPacket&, void*)
0x1000e8b4	.GetPlayerFromReal__5GGameFUl	GGame::GetPlayerFromReal(unsigned long)
0x1000e914	.__ct__10LH_USER_IDFRC10LH_USER_ID	LH_USER_ID::LH_USER_ID(const LH_USER_ID&)
0x1000e954	.__ct__10LH_USER_IDFv	LH_USER_ID::LH_USER_ID()
0x1000ea14	.GetDataLen__8LHPacketFv	LHPacket::GetDataLen()
0x1000ea54	.GetDataPtr__8LHPacketFv	LHPacket::GetDataPtr()
0x1000ea94	.GetStart__24LHLinkedList<P8LHPlayer>CFv	LHLinkedList<P8LHPlayer>::GetStart() const
0x1000eaf4	.SetNewWander__6AnimalFRC9MapCoordsll	Animal::SetNewWander(const MapCoords&, long, long)
0x1000ede4	.GetArrivePos__5AbodeFv	Abode::GetArrivePos()
0x1000ee54	.ArrivesHome__8VillagerFv	Villager::ArrivesHome()
0x1000f144	.CheckNeedsAtHome__8VillagerFv	Villager::CheckNeedsAtHome()
0x1000f364	.SetPacket__5GGameF11PACKET_TYPERC9MapCoordsP7LHPointUc	GGame::SetPacket(PACKET_TYPE, const MapCoords&, LHPoint*, unsigned char)
0x1000f444	.__rf__Q23std57__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>CFv	std::__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>::operator->() const
0x1000f4b4	.IsControlledByScript__16GameThingWithPosCFv	GameThingWithPos::IsControlledByScript() const
0x1000f524	.__as__7LHPointFRC7LHPoint	LHPoint::operator=(const LHPoint&)
0x1000f564	.MessageSetScreenCursorXY__10GInterfaceFP7LHCoord	GInterface::MessageSetScreenCursorXY(LHCoord*)
0x1000f654	.UpdateStatusInfo__10GInterfaceFRC9MapCoordsRC7LHPointRC7LHPointRC7LHPointUc	GInterface::UpdateStatusInfo(const MapCoords&, const LHPoint&, const LHPoint&, const LHPoint&, unsigned char)
0x1000f6e4	.IsThingShieldedFromReactionInitiator__11SpellShieldFP16GameThingWithPosP16GameThingWithPos	SpellShield::IsThingShieldedFromReactionInitiator(GameThingWithPos*, GameThingWithPos*)
0x1000f814	.GetPos__17GInterfaceCollideFv	GInterfaceCollide::GetPos()
0x1000f854	.IsWater__8LandCellFv	LandCell::IsWater()
0x1000f894	.GetPosOutside__5AbodeFfff	Abode::GetPosOutside(float, float, float)
0x1000fa14	.__ct__Q23std91__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>FRCQ23std91__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>	std::__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>::__tree(const std::__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>&)
0x1000fb94	.__ct__Q23std91__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>FRCQ23std22less<P13MobileWallHug>RCQ23std27allocator<P13MobileWallHug>	std::__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>::__tree(const std::less<P13MobileWallHug>&, const std::allocator<P13MobileWallHug>&)
0x1000fc84	.CheckDeathFromOldAge__8VillagerFv	Villager::CheckDeathFromOldAge()
0x1000fde4	.FindClosestFlockMember__5FlockFRC9MapCoordsfP6Living	Flock::FindClosestFlockMember(const MapCoords&, float, Living*)
0x1000ff14	.erase__Q23std91__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>FQ33std91__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>8iterator	std::__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>::erase(std::__tree<P13MobileWallHug,Q23std22less<P13MobileWallHug>,Q23std27allocator<P13MobileWallHug>>::iterator)
0x100100c4	.balance_erase__Q23std19__red_black_tree<1>FPQ33std19__red_black_tree<1>9node_basePQ33std19__red_black_tree<1>9node_base	std::__red_black_tree<1>::balance_erase(std::__red_black_tree<1>::node_base*, std::__red_black_tree<1>::node_base*)
0x100105f4	.bit__Q23std57__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>CFv	std::__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>::bit() const
0x10010664	.bit__Q23std57__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>Fb	std::__pointer_plus_bit<Q33std19__red_black_tree<1>9node_base>::bit(bool)
0x100106f4	.balance_insert__Q23std19__red_black_tree<1>FPQ33std19__red_black_tree<1>9node_basePQ33std19__red_black_tree<1>9node_base	std::__red_black_tree<1>::balance_insert(std::__red_black_tree<1>::node_base*, std::__red_black_tree<1>::node_base*)
